,category,mean,ci_upper,ci_lower,test_type
42,Where is life expectancy roughly 66? + bg-11.svg,0.8170731707317073,0.9024390243902439,0.7317073170731707,brbf
43,Do all of these planets have the same life expectancy? + bg-12.svg,0.9655172413793104,1.0,0.9195402298850575,brbf
44,Where did unemployment reach its highest peak since the beginning of this time period? + lg1-1.svg,0.8588235294117647,0.9294117647058824,0.788235294117647,brbf
45,What has the average unemployment rate been on planet Voreg since the beginning of this time period? + lg1-2.svg,0.5925925925925926,0.7037037037037037,0.48148148148148145,brbf
46,"Even though there has been some variation, has the unemployment trend generally increased on planet Alyosius since the beginning of this time period? + lg1-3.svg",0.8470588235294118,0.9176470588235294,0.7647058823529411,brbf
47,Where did unemployment reach its lowest peak since the beginning of this time period? + lg1-4.svg,0.735632183908046,0.8160919540229885,0.6433908045977011,brbf
48,When did the highest increase in the unemployment trend occur on planet Nurag since the beginning of this time period? + lg1-5.svg,0.25882352941176473,0.36470588235294116,0.16470588235294117,brbf
49,When did unemployment first go above 6.9 on planet Mandel? + lg1-6.svg,0.2,0.2823529411764706,0.11764705882352941,brbf
50,"Even though there has been some variation, where has the unemployment trend generally increased the most since the beginning of this time period? + lg1-7.svg",0.5882352941176471,0.6941176470588235,0.47058823529411764,brbf
51,What has the general average unemployment rate been on this group of planets since the beginning of this time period? + lg1-8.svg,0.5340909090909091,0.6363636363636364,0.4318181818181818,brbf
52,"Even though there has been some variation, has the unemployment trend generally increased on all of these planets since the beginning of this time period? + lg1-9.svg",0.8023255813953488,0.8837209302325582,0.7209302325581395,brbf
53,When was unemployment at its highest peak on planet Karna? + lg1-10.svg,0.38095238095238093,0.5,0.2857142857142857,brbf
54,Where did unemployment first go above 6.8? + lg1-11.svg,0.8705882352941177,0.9297058823529409,0.788235294117647,brbf
55,When was unemployment at its lowest peak on planet Kreno? + lg1-12.svg,0.4146341463414634,0.524390243902439,0.3170731707317073,brbf
56,How many planets spend approximately the same amount on primary students as planet Wobb but have a higher percentage of literate adults? + sp-1.svg,0.47560975609756095,0.5853658536585366,0.3780487804878049,brbf
57,On which planet does low expenditure per primary student have the worst impact on adult literacy? + sp-2.svg,0.7325581395348837,0.8255813953488372,0.627906976744186,brbf
58,Does expenditure per primary student generally have a positive impact on adult literacy in this group of planets? + sp-3.svg,0.6904761904761905,0.7857142857142857,0.5952380952380952,brbf
59,On how many planets does high expenditure per primary student seem to have a high positive impact on adult literacy? + sp-4.svg,0.6190476190476191,0.7261904761904762,0.5119047619047619,brbf
60,Which planet spends the most on its primary students? + sp-5.svg,0.5568181818181818,0.6480113636363634,0.45454545454545453,brbf
61,Does expenditure per primary student seem to have a positive impact on adult literacy on planet Maarin? + sp-6.svg,0.7625,0.85,0.6625,brbf
62,What is the average adult literacy on the 5 planets that spend the most on primary students? + sp-7.svg,0.4024390243902439,0.5121951219512195,0.2926829268292683,brbf
63,Which planet spends approximately 22% of its GDP on primary students? + sp-8.svg,0.6705882352941176,0.7647058823529411,0.5647058823529412,brbf
64,Which planet has the lowest adult literacy? + sp-9.svg,0.9186046511627907,0.9767441860465116,0.8604651162790697,brbf
65,On which planet does high expenditure per primary student lead to the highest adult literacy? + sp-10.svg,0.8690476190476191,0.9285714285714286,0.7976190476190477,brbf
66,"Which planet spends less than 8.0% of its GDP on primary students, yet has a highly literate adult population? + sp-11.svg",0.7126436781609196,0.8045977011494253,0.6206896551724138,brbf
67,What is the approximate average adult literacy in this group of planets? + sp-12.svg,0.5238095238095238,0.6309523809523809,0.4166666666666667,brbf
68,Where did unemployment reach its highest peak since the beginning of this time period? + lg1-table-1.png,0.8352941176470589,0.9058823529411765,0.7647058823529411,brbf
69,Where did unemployment reach its lowest peak since the beginning of this time period? + lg1-table-2.png,0.7931034482758621,0.8735632183908046,0.7011494252873564,brbf
70,"Even though there has been some variation, has the unemployment trend generally increased on all of these planets since the beginning of this time period? + lg1-table-3.png",0.7349397590361446,0.8192771084337349,0.6265060240963856,brbf
71,Where did unemployment first go above 10.1? + lg1-table-4.png,0.5955056179775281,0.6853932584269663,0.4943820224719101,brbf
72,What has the general average unemployment rate been on this group of planets since the beginning of this time period? + lg1-table-5.png,0.36046511627906974,0.46511627906976744,0.2558139534883721,brbf
73,"Even though there has been some variation, where has the unemployment trend generally increased the most since the beginning of this time period? + lg1-table-6.png",0.40963855421686746,0.5180722891566265,0.30120481927710846,brbf
74,When was unemployment at its highest peak on planet Durla? + lg1-table-7.png,0.7901234567901234,0.8765432098765432,0.691358024691358,brbf
75,When was unemployment at its lowest peak on planet Quake? + lg1-table-8.png,0.75,0.8333333333333334,0.6547619047619048,brbf
76,"Even though there has been some variation, has the unemployment trend generally increased on planet Vincetori since the beginning of this time period? + lg1-table-9.png",0.8255813953488372,0.9069767441860465,0.7325581395348837,brbf
77,When did unemployment first go above 9.9 on planet Tun? + lg1-table-10.png,0.7816091954022989,0.8620689655172413,0.6896551724137931,brbf
78,What has the average unemployment rate been on planet Konom since the beginning of this time period? + lg1-table-11.png,0.3132530120481928,0.40963855421686746,0.20481927710843373,brbf
79,When did the highest increase in the unemployment trend occur on planet Kallu since the beginning of this time period? + lg1-table-12.png,0.4659090909090909,0.5681818181818182,0.36363636363636365,brbf
80,Which planet has the highest life expectancy? + bg-table-1.png,0.9166666666666666,0.9642857142857143,0.856845238095238,brbf
81,Which planet has the lowest life expectancy? + bg-table-2.png,0.8372093023255814,0.9069767441860465,0.7558139534883721,brbf
82,Do all of these planets have the same life expectancy? + bg-table-3.png,0.9880952380952381,1.0,0.9642857142857143,brbf
83,Where is life expectancy roughly 79? + bg-table-4.png,0.75,0.8333333333333334,0.6666666666666666,brbf
84,What is the approximate average life expectancy on this group of planets? + bg-table-5.png,0.4823529411764706,0.5882352941176471,0.3764705882352941,brbf
85,"Which group of 2 planets (either green, red, or orange) has the biggest difference in life expectancy? + bg-table-6.png",0.8024691358024691,0.8765432098765432,0.7037037037037037,brbf
86,Which planet has the highest life expectancy? + bg-table-7.png,0.8795180722891566,0.9397590361445783,0.7951807228915663,brbf
87,Which planet has the lowest life expectancy? + bg-table-8.png,0.04819277108433735,0.0963855421686747,0.012048192771084338,brbf
88,Do all of these planets have the same life expectancy? + bg-table-9.png,0.9397590361445783,0.9879518072289156,0.8795180722891566,brbf
89,Where is life expectancy roughly 66? + bg-table-10.png,0.9523809523809523,0.9880952380952381,0.9047619047619048,brbf
90,What is the approximate average life expectancy on this group of planets? + bg-table-11.png,0.5542168674698795,0.6626506024096386,0.4457831325301205,brbf
91,"Which group of 2 planets (either red, orange, green, purple, brown, or pink) has the biggest difference in life expectancy? + bg-table-12.png",0.627906976744186,0.7209302325581395,0.5232558139534884,brbf
92,On which planet does high expenditure per primary student lead to the highest adult literacy? + sp-table-1.png,0.8571428571428571,0.9285714285714286,0.7738095238095238,brbf
93,On which planet does low expenditure per primary student have the worst impact on adult literacy? + sp-table-2.png,0.7865168539325843,0.865449438202247,0.6966292134831461,brbf
94,Does expenditure per primary student generally have a positive impact on adult literacy in this group of planets? + sp-table-3.png,0.8554216867469879,0.927710843373494,0.7710843373493976,brbf
95,"Which planet spends less than 6.0% of its GDP on primary students, yet has a highly literate adult population? + sp-table-4.png",0.813953488372093,0.8953488372093024,0.7325581395348837,brbf
96,What is the approximate average adult literacy in this group of planets? + sp-table-5.png,0.6896551724137931,0.7818965517241377,0.5747126436781609,brbf
97,On how many planets does high expenditure per primary student seem to have a high positive impact on adult literacy? + sp-table-6.png,0.3068181818181818,0.4090909090909091,0.20454545454545456,brbf
98,Which planet spends the most on its primary students? + sp-table-7.png,0.8536585365853658,0.926829268292683,0.7682926829268293,brbf
99,Which planet has the lowest adult literacy? + sp-table-8.png,0.8488372093023255,0.9186046511627907,0.7674418604651163,brbf
100,Does expenditure per primary student seem to have a positive impact on adult literacy on planet Kithrup? + sp-table-9.png,0.8255813953488372,0.8953488372093024,0.7325581395348837,brbf
101,Which planet spends approximately 6% of its GDP on primary students? + sp-table-10.png,0.8928571428571429,0.9523809523809523,0.8214285714285714,brbf
102,What is the average adult literacy on the 5 planets that spend the most on primary students? + sp-table-11.png,0.23809523809523808,0.3333333333333333,0.15476190476190477,brbf
103,How many planets spend approximately the same amount on primary students as planet Trigus but have a higher percentage of literate adults? + sp-table-12.png,0.47560975609756095,0.573170731707317,0.36585365853658536,brbf
104,What percentage of patients recovered after chemotherapy? + ggr_item1.png,0.9431818181818182,0.9886363636363636,0.8863636363636364,ggr-mc
105,"Compared to the placebo, which treatment leads to a larger decrease in the percentage of patients who die? + ggr_item10.png",0.3411764705882353,0.4470588235294118,0.24705882352941178,ggr-mc
106,Which of the treatments contributes to a larger decrease in the percentage of sick patients? + ggr_item11.png,0.12941176470588237,0.2,0.07058823529411765,ggr-mc
107,"Between 1980 and 1990, which disease had a higher increase in the percentage of people affected? + ggr_item12.png",0.654320987654321,0.7533950617283948,0.5552469135802469,ggr-mc
108,What is the percentage of cancer patients who die after chemotherapy? + ggr_item13.png,0.18604651162790697,0.2677325581395346,0.10465116279069768,ggr-mc
109,What is the difference between the percentage of patients who recovered after a surgery and the percentage of patients who recovered after radiation therapy? + ggr_item2.png,0.8433734939759037,0.9156626506024096,0.7590361445783133,ggr-mc
110,"Of all the people who die from cancer, approximately what percentage dies from lung cancer? + ggr_item3.png",0.8255813953488372,0.8953488372093024,0.7441860465116279,ggr-mc
111,"Approximately what percentage of people who die from cancer die from colon cancer, breast cancer, and prostate cancer taken together? + ggr_item4.png",0.6705882352941176,0.7764705882352941,0.5647058823529412,ggr-mc
112,Approximately what percentage of people had Adeolitis in the year 2000? + ggr_item5.png,0.8314606741573034,0.9101123595505618,0.7528089887640449,ggr-mc
113,When was the increase in the percentage of people with Adeolitis higher? + ggr_item6.png,0.5813953488372093,0.686046511627907,0.47674418604651164,ggr-mc
114,"According to your best guess, what will the percentage of people with Adeolitis be in the year 2010? + ggr_item7.png",0.49411764705882355,0.6,0.38823529411764707,ggr-mc
115,"Of 100 patients with disease X, how many are women? + ggr_item8.png",0.896551724137931,0.9540229885057471,0.8275862068965517,ggr-mc
116,How many more men than women are there among 100 patients with disease X? + ggr_item9.png,0.5977011494252874,0.7011494252873564,0.4942528735632184,ggr-mc
117,What was the price of a barrel of oil in February 2015? + item1.png,0.9069767441860465,0.9651162790697675,0.8488372093023255,vlat
118,In which month was the price of a barrel of oil the lowest in 2015? + item2.png,0.9634146341463414,1.0,0.9146341463414634,vlat
119,What was the price range of a barrel of oil in 2015? + item3.png,0.5421686746987951,0.6506024096385542,0.43373493975903615,vlat
120,"Over the course of the second half of 2015, the price of a barrel of oil was ____________. + item4.png",0.9418604651162791,0.9883720930232558,0.8837209302325582,vlat
121,About how much did the price of a barrel of oil fall from April to September in 2015? + item5.png,0.7840909090909091,0.8636363636363636,0.6931818181818182,vlat
122,What is the average internet speed in Japan? + item6.png,0.8313253012048193,0.9036144578313253,0.7469879518072289,vlat
123,In which country is the average internet speed the fastest in Asia? + item7.png,0.9761904761904762,1.0,0.9404761904761905,vlat
124,What is the range of the average internet speed in Asia? + item8.png,0.575,0.6875,0.4625,vlat
125,How many countries in Asia is the average internet speed slower than Thailand? + item9.png,0.449438202247191,0.550561797752809,0.34831460674157305,vlat
126,What is the cost of peanuts in Las Vegas? + item10.png,0.27710843373493976,0.37349397590361444,0.18072289156626506,vlat
127,About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle? + item11.png,0.49411764705882355,0.611764705882353,0.38823529411764707,vlat
128,In which city is the cost of soda the highest? + item12.png,0.5348837209302325,0.6395348837209303,0.43023255813953487,vlat
129,The cost of vodka in Atlanta is higher than that of Honolulu. + item14.png,0.6705882352941176,0.7647058823529411,0.5647058823529412,vlat
130,The ratio of the cost of Soda to the cost of Water in Orlando is higher than that of Washington D.C. + item15.png,0.7674418604651163,0.8488372093023255,0.686046511627907,vlat
131,What is the approval rating of Republicans among the people who have the education level of Postgraduate Study? + item16.png,0.5393258426966292,0.6292134831460674,0.42696629213483145,vlat
132,What is the education level of people in which the Democrats have the lowest approval rating? + item17.png,0.8333333333333334,0.9047619047619048,0.75,vlat
133,The approval rating of Republicans for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study. + item18.png,0.49411764705882355,0.6,0.38823529411764707,vlat
134,About what is the global smartphone market share of Samsung? + item19.png,0.6190476190476191,0.7142857142857143,0.5119047619047619,vlat
135,In which company is the global smartphone market share the smallest? + item20.png,0.9882352941176471,1.0,0.9647058823529412,vlat
136,The global smartphone market share of Apple is larger than that of Huawei. + item21.png,0.9411764705882353,0.9882352941176471,0.8823529411764706,vlat
137,How many people have rated the taxi between 4.0 and 4.2? + item22.png,0.7906976744186046,0.872093023255814,0.6976744186046512,vlat
138,What is the rating that the people have rated the taxi the most? + item23.png,0.9080459770114943,0.9655172413793104,0.8390804597701149,vlat
139,More people have rated the taxi between 4.6 and 4.8 than between 4.2 and 4.4. + item25.png,0.8023255813953488,0.8837209302325582,0.7206395348837209,vlat
140,What is the weight for the person who is 165.1 cm tall? + item26.png,0.8705882352941177,0.9411764705882353,0.8,vlat
141,What is the height for the tallest person among the 85 males? + item27.png,0.65,0.7625,0.55,vlat
142,What is the range in weight for the 85 males? + item28.png,0.08333333333333333,0.14285714285714285,0.03571428571428571,vlat
143,What is the height for a person who lies outside the others the most? + item29.png,0.5119047619047619,0.6190476190476191,0.4044642857142857,vlat
144,A group of males are gathered around the height of 176 cm and the weight of 70 kg. + item30.png,0.7816091954022989,0.8620689655172413,0.7011494252873564,vlat
145,There is a negative linear relationship between the height and the weight of the 85 males. + item31.png,0.7011494252873564,0.7931034482758621,0.5862068965517241,vlat
146,The weights for males with the height of 188 cm are all the same. + item32.png,0.7931034482758621,0.8735632183908046,0.7126436781609196,vlat
147,What was the average price of a pound of coffee beans in September 2013? + item35.png,0.6785714285714286,0.7741071428571427,0.5714285714285714,vlat
148,When was the average price of a pound of coffee beans at minimum? + item36.png,0.5542168674698795,0.6626506024096386,0.4578313253012048,vlat
149,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014? + item37.png,0.36904761904761907,0.47619047619047616,0.2735119047619048,vlat
150,"Over the course of 2013, the average price of a pound of coffee beans was ____________. + item38.png",0.9186046511627907,0.9767441860465116,0.8488372093023255,vlat
151,What was the number of girls named 'Amelia' in 2010 in the UK? + item40.png,0.14457831325301204,0.21686746987951808,0.07228915662650602,vlat
152,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in the UK? + item41.png,0.2727272727272727,0.36363636363636365,0.19318181818181818,vlat
153,"Over the course of years between 2009 and 2014, when was the number of girls named 'Amelia' at the maximum? + item42.png",0.9759036144578314,1.0,0.9397590361445783,vlat
154,The number of girls named 'Isla' was __________ from 2009 to 2012. + item43.png,0.9634146341463414,1.0,0.9146341463414634,vlat
155,"In the UK, the number of girls named 'Amelia' in 2014 was more than it was in 2013. + item44.png",0.25,0.3409090909090909,0.1590909090909091,vlat
156,"Over the course of years between 2009 and 2014, the number of girls named 'Isla' was always more than 'Olivia'. + item45.png",0.2,0.2823529411764706,0.11764705882352941,vlat
157,What is the total length of the metro system in Beijing? + item47.png,0.35294117647058826,0.4588235294117647,0.25882352941176473,vlat
158,Which city's metro system has the largest number of stations? + item48.png,0.5301204819277109,0.6385542168674698,0.43373493975903615,vlat
159,What is the range of the total length of the metro systems? + item49.png,0.25,0.34523809523809523,0.16666666666666666,vlat
160,Which city's metro system does lie outside the relationship between the total system length and the number of stations most? + item50.png,0.6363636363636364,0.7275568181818179,0.5454545454545454,vlat
161,A group of the metro systems of the world has approximately 300 stations and around a 200km system length. + item51.png,0.6162790697674418,0.7209302325581395,0.5116279069767442,vlat
162,"In general, the ridership of the metro system increases as the number of stations increases. + item52.png",0.32941176470588235,0.4235294117647059,0.2235294117647059,vlat
163,The metro system in Shanghai has more ridership than the metro system in Beijing. + item53.png,0.7023809523809523,0.7976190476190477,0.6071428571428571,vlat
164,What was the unemployment rate for Indiana (IN) in 2015? + item55.png,0.07228915662650602,0.13253012048192772,0.024096385542168676,vlat
165,In which state was the unemployment rate the highest in 2015? + item56.png,0.9058823529411765,0.9647058823529412,0.846764705882353,vlat
166,"In 2015, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI). + item57.png",0.9090909090909091,0.9659090909090909,0.8522727272727273,vlat
167,For which website was the number of unique visitors the largest in 2010? + item59.png,0.9318181818181818,0.9772727272727273,0.875,vlat
168,The number of unique visitors for Amazon was more than that of Yahoo in 2010. + item60.png,0.6024096385542169,0.6987951807228916,0.4939759036144578,vlat
169,Samsung is nested in the Financial category. + item61.png,0.8795180722891566,0.9397590361445783,0.8072289156626506,vlat
170,Do U.S. states have a more similar number of sunny days in the summer or in the winter? + T1.png,0.15476190476190477,0.23809523809523808,0.08333333333333333,calvi
171,Do U.S. states have a more similar number of windy days in the summer or in the winter? + T2.png,0.08139534883720931,0.13953488372093023,0.03488372093023256,calvi
172,What is the number of concert tickets sold on Aug 10 as a proportion of that on Aug 11? + T3.png,0.23170731707317074,0.31737804878048753,0.13414634146341464,calvi
173,What is the price of water bottle from store A as a proportion of that from store B? + T4.png,0.37209302325581395,0.46511627906976744,0.26744186046511625,calvi
174,"On May 06 in city Z, what is the number of visitors at train station B as a proportion of that at train station C? + T5.png",0.1590909090909091,0.23863636363636365,0.09090909090909091,calvi
175,What is the trend for the percentage of bacteria Z from 1970 to 2020? + T6.png,0.21176470588235294,0.29411764705882354,0.12941176470588237,calvi
176,"Approximately, what is the total number of visitors at amusement park B as a proportion of that at amusement park C from May to December? + T8.png",0.23255813953488372,0.32558139534883723,0.1511627906976744,calvi
177,"Approximately, what is brand C’s total sales as a proportion of brand B’s total sales from Jan 01 to Mar 15? + T9.png",0.17647058823529413,0.25882352941176473,0.09411764705882353,calvi
178,True or False: Predatory species Z is more prevalent in NC than in AZ. + T10.png,0.7764705882352941,0.8588235294117647,0.6941176470588235,calvi
179,True or False: WY has a higher risk of bacteria Z infection than ND. + T11.png,0.8674698795180723,0.9280120481927708,0.7951807228915663,calvi
180,True or False: The annual number of trees planted in town Z has been increasing from 1960 to 1980. + T12.png,0.7272727272727273,0.8181818181818182,0.625,calvi
181,What is the trend of the number of bookstores in city Z from 2000 to 2020? + T13.png,0.7804878048780488,0.8658536585365854,0.6951219512195121,calvi
182,Which of the following is true about the annual number of new movies released in city X? + T14.png,0.27058823529411763,0.36470588235294116,0.17647058823529413,calvi
183,What is the trend of the total sales for item X from Apr to Aug? + T15.png,0.12195121951219512,0.1951219512195122,0.04878048780487805,calvi
184,What is the trend of the total number of apples harvested in farm X from Jan 11 to Jan 14? + T16.png,0.23809523809523808,0.32142857142857145,0.15476190476190477,calvi
185,What is the trend of the growth for plant species P as the number of hours of sunlight exposure per month increases? + T17.png,0.19767441860465115,0.27906976744186046,0.11627906976744186,calvi
186,Which of the following is true about company Z? + T18.png,0.36046511627906974,0.4537790697674416,0.26744186046511625,calvi
187,What is the trend of the survival rate as weight increases for species Z? + T19.png,0.2441860465116279,0.33749999999999974,0.1511627906976744,calvi
188,Which of the following is true about the prevalence of the plant species Y? + T20.png,0.45121951219512196,0.5487804878048781,0.34146341463414637,calvi
189,"Assuming today is May 10 and given the chart below, which statement about rainfall (mm) is true for the past 14 days? + T21.png",0.1411764705882353,0.2235294117647059,0.07058823529411765,calvi
190,True or False: The number of visitors at airport X is decreasing from 2000 to 2005. + T22.png,0.7752808988764045,0.8542134831460672,0.6853932584269663,calvi
191,Is the total number of shirts sold by company Z in the first half of 2021 higher than that in the second half? + T23.png,0.40229885057471265,0.5057471264367817,0.2988505747126437,calvi
192,Which of the following is true about the three brands of shampoo in city Y from 2001 to 2005? + T25.png,0.6511627906976745,0.7441860465116279,0.5465116279069767,calvi
193,"Approximately, what is the number of votes for candidate A as a proportion of those for candidate B? + T26.png",0.4659090909090909,0.5684659090909089,0.36363636363636365,calvi
194,True or False: GDP per capita for country Z grew faster from 2000 to 2003 than from 2005 to 2008. + T27.png,0.21839080459770116,0.3103448275862069,0.13793103448275862,calvi
195,Does cell phone brand A have more than half of the total market share? + T28.png,0.012048192771084338,0.03614457831325301,0.0,calvi
196,Are there more households with exactly 1 car than households with exactly 2 cars? + T29.png,0.05747126436781609,0.11494252873563218,0.011494252873563218,calvi
197,Was the average amount of precipitation over 15 years in region D higher than that in region C? + T30.png,0.03409090909090909,0.06846590909090883,0.0,calvi
198,"Company A sells a board game. Assuming today is Jun 01, 2022, which of the following statements is true? + T34.png",0.14634146341463414,0.23170731707317074,0.07317073170731707,calvi
199,"Assuming today is Feb 20, 2022, which of the following is true about the vegetables planted by the three farms? + T35.png",0.18072289156626506,0.26506024096385544,0.0963855421686747,calvi
200,"Assuming today is Apr 10, 2022, did the total number of cars parked in the three parking lots fall sharply in 2022? + T36.png",0.21176470588235294,0.3058823529411765,0.12941176470588237,calvi
201,"Assuming today is May 01, 2022, which of the following statements is true? + T37.png",0.04878048780487805,0.0975609756097561,0.012195121951219513,calvi
202,"True or False: Within each town, is there a negative relationship between average daily working hours and happiness score? + T38.png",0.3333333333333333,0.4444444444444444,0.2222222222222222,calvi
203,"Within each city, is there a positive relationship between salary and average daily working hours? + T39.png",0.20689655172413793,0.28735632183908044,0.12643678160919541,calvi
204,Does any members of species C weigh more than 5 lbs? + T40.png,0.023255813953488372,0.05813953488372093,0.0,calvi
205,"Which region had the highest number of confirmed cases per 1,000 people? + T42.png",0.17391304347826086,0.25,0.09782608695652174,calvi
206,What is the trend of sales in gift shop A from Jan to Dec? + T43.png,0.6463414634146342,0.7439024390243902,0.5365853658536586,calvi
207,What is the trend of the average price of books from 1960 to 2020 in city Z? + T44.png,0.5172413793103449,0.6206896551724138,0.4135057471264368,calvi
208,"Assuming today is May 01, and half of the votes from each state for a favorite ice cream brand have been counted. The color of each state corresponds to the brand that has received the most votes in that state so far. The brand with the most number of colored states will be the most popular brand, and the results will be finalized on May 15. Which of the following is true? + T45.png",0.25301204819277107,0.3493975903614458,0.1686746987951807,calvi
209,"True or False: If the temperature gets higher than 100°F, then the bottles of water sold must be greater than 750. + T46.png",0.2261904761904762,0.30952380952380953,0.14285714285714285,calvi
210,True or False: More than half of the people in county Z prefer reading at night. + T47.png,0.926829268292683,0.975609756097561,0.8658536585365854,calvi
211,"The residents of town Y are voting on a favorite hiking trail, and half of the votes have been counted. The poll closes on Sep 01, 2022. Which of the following is true? + T48.png",0.5119047619047619,0.6190476190476191,0.40476190476190477,calvi
212,"In town X, what is the approximate average number of customers at mall A from Jan to Mar? + T49.png",0.20481927710843373,0.30120481927710846,0.12048192771084337,calvi
213,"In city Z, what is the approximate average number of new buildings built from 1950 to 1952? + T50.png",0.25882352941176473,0.35294117647058826,0.16470588235294117,calvi
214,True or False: Monthly sales for store B is increasing from Jan to Dec. + T52.png,0.7407407407407407,0.8395061728395061,0.6540123456790123,calvi
215,What is the number of visitors at theater A as a proportion of that at theater B in 2001? + N1.png,0.9176470588235294,0.9649999999999997,0.8588235294117647,calvi
216,Which statement about the daily number of traffic accidents from Jan 01 to Jan 15 in state Z is true? + N2.png,0.8452380952380952,0.9166666666666666,0.7619047619047619,calvi
