question_image,category,is_correct,test_type
"True or False: If the temperature gets higher than 100°F, then the bottles of water sold must be greater than 750. + T46.png",Scatter,0.2261904761904762,calvi
True or False: Monthly sales for store B is increasing from Jan to Dec. + T52.png,Line,0.7407407407407407,calvi
True or False: More than half of the people in county Z prefer reading at night. + T47.png,Pie,0.926829268292683,calvi
True or False: Predatory species Z is more prevalent in NC than in AZ. + T10.png,Map,0.7764705882352941,calvi
True or False: The annual number of trees planted in town Z has been increasing from 1960 to 1980. + T12.png,Bar,0.7272727272727273,calvi
True or False: The number of visitors at airport X is decreasing from 2000 to 2005. + T22.png,Line,0.7752808988764045,calvi
True or False: WY has a higher risk of bacteria Z infection than ND. + T11.png,Map,0.8674698795180723,calvi
"True or False: Within each town, is there a negative relationship between average daily working hours and happiness score? + T38.png",Scatter,0.3333333333333333,calvi
Was the average amount of precipitation over 15 years in region D higher than that in region C? + T30.png,Map,0.03409090909090909,calvi
What has the average unemployment rate been on planet Voreg since the beginning of this time period? + lg1-2.svg,Line,0.5925925925925926,brbf
What has the general average unemployment rate been on this group of planets since the beginning of this time period? + lg1-8.svg,Line,0.5340909090909091,brbf
What is the approval rating of Republicans among the people who have the education level of Postgraduate Study? + item16.png,100% Stacked Bar,0.5393258426966292,vlat
What is the approximate average adult literacy in this group of planets? + sp-12.svg,Scatter,0.5238095238095238,brbf
What is the approximate average life expectancy on this group of planets? + bg-1.svg,Bar,0.4222222222222222,brbf
What is the approximate average life expectancy on this group of planets? + bg-4.svg,Bar,0.40963855421686746,brbf
What is the average adult literacy on the 5 planets that spend the most on primary students? + sp-7.svg,Scatter,0.4024390243902439,brbf
What is the average internet speed in Japan? + item6.png,Bar,0.8313253012048193,vlat
What is the cost of peanuts in Las Vegas? + item10.png,Stacked Bar,0.27710843373493976,vlat
What is the difference between the percentage of patients who recovered after a surgery and the percentage of patients who recovered after radiation therapy? + ggr_item2.png,Bar,0.8433734939759037,ggr-mc
What is the education level of people in which the Democrats have the lowest approval rating? + item17.png,100% Stacked Bar,0.8333333333333334,vlat
What is the height for a person who lies outside the others the most? + item29.png,Scatter,0.5119047619047619,vlat
What is the height for the tallest person among the 85 males? + item27.png,Scatter,0.65,vlat
What is the number of concert tickets sold on Aug 10 as a proportion of that on Aug 11? + T3.png,Bar,0.23170731707317074,calvi
What is the number of visitors at theater A as a proportion of that at theater B in 2001? + N1.png,Bar,0.9176470588235294,calvi
What is the percentage of cancer patients who die after chemotherapy? + ggr_item13.png,Bar,0.18604651162790697,ggr-mc
What is the price of water bottle from store A as a proportion of that from store B? + T4.png,Bar,0.37209302325581395,calvi
What is the range in weight for the 85 males? + item28.png,Scatter,0.08333333333333333,vlat
What is the range of the average internet speed in Asia? + item8.png,Bar,0.575,vlat
What is the range of the total length of the metro systems? + item49.png,Scatter,0.25,vlat
What is the rating that the people have rated the taxi the most? + item23.png,Histogram,0.9080459770114943,vlat
What is the total length of the metro system in Beijing? + item47.png,Scatter,0.35294117647058826,vlat
What is the trend for the percentage of bacteria Z from 1970 to 2020? + T6.png,Line,0.21176470588235294,calvi
What is the trend of sales in gift shop A from Jan to Dec? + T43.png,Line,0.6463414634146342,calvi
What is the trend of the average price of books from 1960 to 2020 in city Z? + T44.png,Line,0.5172413793103449,calvi
What is the trend of the growth for plant species P as the number of hours of sunlight exposure per month increases? + T17.png,Scatter,0.19767441860465115,calvi
What is the trend of the monthly number of new restaurant openings in county Y in 2000? + N7.png,Line,0.9642857142857143,calvi
What is the trend of the number of bookstores in city Z from 2000 to 2020? + T13.png,Bar,0.7804878048780488,calvi
What is the trend of the survival rate as weight increases for species Z? + T19.png,Scatter,0.2441860465116279,calvi
What is the trend of the total number of apples harvested in farm X from Jan 11 to Jan 14? + T16.png,Area,0.23809523809523808,calvi
What is the trend of the total sales for item X from Apr to Aug? + T15.png,Line,0.12195121951219512,calvi
What is the weight for the person who is 165.1 cm tall? + item26.png,Scatter,0.8705882352941177,vlat
What percentage of patients recovered after chemotherapy? + ggr_item1.png,Bar,0.9431818181818182,ggr-mc
What was the average price of a pound of coffee beans in September 2013? + item35.png,Area,0.6785714285714286,vlat
What was the number of girls named 'Amelia' in 2010 in the UK? + item40.png,Stacked Area,0.14457831325301204,vlat
What was the price of a barrel of oil in February 2015? + item1.png,Line,0.9069767441860465,vlat
What was the price range of a barrel of oil in 2015? + item3.png,Line,0.5421686746987951,vlat
What was the range of the average price of a pound of coffee beans between January 2013 and December 2014? + item37.png,Area,0.36904761904761907,vlat
What was the unemployment rate for Indiana (IN) in 2015? + item55.png,Map,0.07228915662650602,vlat
When did the highest increase in the unemployment trend occur on planet Nurag since the beginning of this time period? + lg1-5.svg,Line,0.25882352941176473,brbf
When did unemployment first go above 6.9 on planet Mandel? + lg1-6.svg,Line,0.2,brbf
When was the average price of a pound of coffee beans at minimum? + item36.png,Area,0.5542168674698795,vlat
When was the increase in the percentage of people with Adeolitis higher? + ggr_item6.png,Line,0.5813953488372093,ggr-mc
When was unemployment at its highest peak on planet Karna? + lg1-10.svg,Line,0.38095238095238093,brbf
When was unemployment at its lowest peak on planet Kreno? + lg1-12.svg,Line,0.4146341463414634,brbf
Where did unemployment first go above 6.8? + lg1-11.svg,Line,0.8705882352941177,brbf
Where did unemployment reach its highest peak since the beginning of this time period? + lg1-1.svg,Line,0.8588235294117647,brbf
Where did unemployment reach its lowest peak since the beginning of this time period? + lg1-4.svg,Line,0.735632183908046,brbf
Where is life expectancy roughly 61? + bg-9.svg,Bar,0.898876404494382,brbf
Where is life expectancy roughly 66? + bg-11.svg,Bar,0.8170731707317073,brbf
Which city's metro system does lie outside the relationship between the total system length and the number of stations most? + item50.png,Scatter,0.6363636363636364,vlat
Which city's metro system has the largest number of stations? + item48.png,Scatter,0.5301204819277109,vlat
"Which group of 2 planets (either green, red, or orange) has the biggest difference in life expectancy? + bg-10.svg",Bar,0.7901234567901234,brbf
"Which group of 2 planets (either red, orange, green, purple, brown, or pink) has the biggest difference in life expectancy? + bg-2.svg",Bar,0.6,brbf
Which month has 25 mm of rain? + bar.png,Bar,0.9506172839506173,wainer
Which month has 25 mm of rain? + line.png,Line,0.7108433734939759,wainer
Which month has 25 mm of rain? + radial.png,Radial,0.9058823529411765,wainer
Which of the following about the monthly number of new clients is true? + N6.png,Line,0.6436781609195402,calvi
Which of the following is true about Restaurant R? + N15.png,Map,0.5977011494252874,calvi
Which of the following is true about company Z? + T18.png,Scatter,0.36046511627906974,calvi
"Which of the following is true about the advertising expense breakdown of company Z in countries A, B, and C? + N4.png",Stacked Bar,0.3176470588235294,calvi
Which of the following is true about the annual number of new movies released in city X? + T14.png,Line,0.27058823529411763,calvi
Which of the following is true about the education level of residents in city Z? + N13.png,Pie,0.4578313253012048,calvi
Which of the following is true about the four brands of perfume in city Z? + N5.png,100% Stacked Bar,0.36046511627906974,calvi
Which of the following is true about the market share of grocery stores in town Z? + N12.png,Pie,0.8795180722891566,calvi
Which of the following is true about the prevalence of the plant species Y? + T20.png,Map,0.45121951219512196,calvi
Which of the following is true about the residents in towns X and Y? + N11.png,Scatter,0.6666666666666666,calvi
Which of the following is true about the three brands of shampoo in city Y from 2001 to 2005? + T25.png,100% Stacked Bar,0.6511627906976745,calvi
Which of the following statements is true about the customers at the three bike shops in city Z? + N3.png,Stacked Bar,0.45348837209302323,calvi
Which of the following states has the highest number of Lego owners? + N14.png,Map,0.7976190476190477,calvi
Which of the treatments contributes to a larger decrease in the percentage of sick patients? + ggr_item11.png,Line,0.12941176470588237,ggr-mc
Which planet has the highest life expectancy? + bg-3.svg,Bar,0.9761904761904762,brbf
Which planet has the highest life expectancy? + bg-7.svg,Bar,0.8941176470588236,brbf
Which planet has the lowest adult literacy? + sp-9.svg,Scatter,0.9186046511627907,brbf
Which planet has the lowest life expectancy? + bg-6.svg,Bar,0.9047619047619048,brbf
Which planet has the lowest life expectancy? + bg-8.svg,Bar,0.9534883720930233,brbf
Which planet spends approximately 22% of its GDP on primary students? + sp-8.svg,Scatter,0.6705882352941176,brbf
"Which planet spends less than 8.0% of its GDP on primary students, yet has a highly literate adult population? + sp-11.svg",Scatter,0.7126436781609196,brbf
Which planet spends the most on its primary students? + sp-5.svg,Scatter,0.5568181818181818,brbf
"Which region had the highest number of confirmed cases per 1,000 people? + T42.png",Map,0.17391304347826086,calvi
"Which season has more rain, the summer or the spring? + bar.png",Bar,0.9438202247191011,wainer
"Which season has more rain, the summer or the spring? + line.png",Line,0.8928571428571429,wainer
"Which season has more rain, the summer or the spring? + radial.png",Radial,0.9418604651162791,wainer
Which season has the most rain? + bar.png,Bar,0.9642857142857143,wainer
Which season has the most rain? + line.png,Line,0.8375,wainer
Which season has the most rain? + radial.png,Radial,0.8658536585365854,wainer
Which statement about the daily number of traffic accidents from Jan 01 to Jan 15 in state Z is true? + N2.png,Bar,0.8452380952380952,calvi
"Within each city, is there a positive relationship between salary and average daily working hours? + T39.png",Scatter,0.20689655172413793,calvi
