,participant_id,category,is_correct
22,53976390fdf99b73530fe503,Was the average amount of precipitation over 15 years in region D higher than that in region C? + T30.png,0.0
23,53976390fdf99b73530fe503,What has the average unemployment rate been on planet Konom since the beginning of this time period? + lg1-table-11.png,0.0
24,53976390fdf99b73530fe503,What is the approximate average life expectancy on this group of planets? + bg-4.svg,0.0
25,53976390fdf99b73530fe503,What is the approximate average life expectancy on this group of planets? + bg-table-11.png,1.0
26,53976390fdf99b73530fe503,What is the average internet speed in Japan? + item6.png,1.0
27,53976390fdf99b73530fe503,What is the percentage of cancer patients who die after chemotherapy? + ggr_item13.png,1.0
28,53976390fdf99b73530fe503,What is the trend of sales in gift shop A from Jan to Dec? + T43.png,1.0
29,53976390fdf99b73530fe503,What is the trend of the number of bookstores in city Z from 2000 to 2020? + T13.png,1.0
30,53976390fdf99b73530fe503,What is the trend of the survival rate as weight increases for species Z? + T19.png,0.0
31,53976390fdf99b73530fe503,What is the weight for the person who is 165.1 cm tall? + item26.png,1.0
32,53976390fdf99b73530fe503,What was the average price of a pound of coffee beans in September 2013? + item35.png,1.0
33,53976390fdf99b73530fe503,What was the price range of a barrel of oil in 2015? + item3.png,1.0
34,53976390fdf99b73530fe503,When did unemployment first go above 9.9 on planet Tun? + lg1-table-10.png,1.0
35,53976390fdf99b73530fe503,"Which group of 2 planets (either red, orange, green, purple, brown, or pink) has the biggest difference in life expectancy? + bg-table-12.png",0.0
36,53976390fdf99b73530fe503,Which month has 25 mm of rain? + radial.png,1.0
37,53976390fdf99b73530fe503,Which of the following is true about the annual number of new movies released in city X? + T14.png,0.0
38,53976390fdf99b73530fe503,Which of the following is true about the four brands of perfume in city Z? + N5.png,0.0
39,53976390fdf99b73530fe503,Which of the following is true about the prevalence of the plant species Y? + T20.png,1.0
40,53976390fdf99b73530fe503,Which of the following statements is true about the customers at the three bike shops in city Z? + N3.png,0.0
41,53976390fdf99b73530fe503,Which of the following states has the highest number of Lego owners? + N14.png,1.0
42,53976390fdf99b73530fe503,Which planet has the lowest life expectancy? + bg-6.svg,1.0
43,53976390fdf99b73530fe503,Which planet spends the most on its primary students? + sp-table-7.png,0.0
44,53976390fdf99b73530fe503,"Which season has more rain, the summer or the spring? + bar.png",1.0
45,53976390fdf99b73530fe503,Which season has the most rain? + line.png,1.0
46,558a327cfdf99b2d75651681,About what is the ratio of the cost of a sandwich to the total cost of room service in Seattle? + item11.png,1.0
47,558a327cfdf99b2d75651681,"Approximately, what is the total number of visitors at amusement park B as a proportion of that at amusement park C from May to December? + T8.png",0.0
48,558a327cfdf99b2d75651681,"Assuming today is Apr 10, 2022, did the total number of cars parked in the three parking lots fall sharply in 2022? + T36.png",1.0
49,558a327cfdf99b2d75651681,"Between 1980 and 1990, which disease had a higher increase in the percentage of people affected? + ggr_item12.png",1.0
50,558a327cfdf99b2d75651681,Do U.S. states have a more similar number of sunny days in the summer or in the winter? + T1.png,0.0
51,558a327cfdf99b2d75651681,"Even though there has been some variation, has the unemployment trend generally increased on planet Alyosius since the beginning of this time period? + lg1-3.svg",1.0
52,558a327cfdf99b2d75651681,How many countries in Asia is the average internet speed slower than Thailand? + item9.png,0.0
53,558a327cfdf99b2d75651681,How many months have less than 40mm of rain? + radial.png,1.0
54,558a327cfdf99b2d75651681,How much does it rain in March? + table.png,1.0
55,558a327cfdf99b2d75651681,"In 2015, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI). + item57.png",1.0
56,558a327cfdf99b2d75651681,"In San Francisco, as the weather gets warmer, there is generally more rain. + bar.png",1.0
57,558a327cfdf99b2d75651681,"In city Z, what is the approximate average number of new buildings built from 1950 to 1952? + T50.png",1.0
58,558a327cfdf99b2d75651681,"In general, the ridership of the metro system increases as the number of stations increases. + item52.png",0.0
59,558a327cfdf99b2d75651681,"In the UK, the number of girls named 'Amelia' in 2014 was more than it was in 2013. + item44.png",1.0
60,558a327cfdf99b2d75651681,Is there a positive relationship between SAT score and annual family income for students in city Z? + N10.png,1.0
61,558a327cfdf99b2d75651681,More people have rated the taxi between 4.6 and 4.8 than between 4.2 and 4.4. + item25.png,1.0
62,558a327cfdf99b2d75651681,"Of all the people who die from cancer, approximately what percentage dies from lung cancer? + ggr_item3.png",1.0
63,558a327cfdf99b2d75651681,On how many planets does high expenditure per primary student seem to have a high positive impact on adult literacy? + sp-4.svg,1.0
64,558a327cfdf99b2d75651681,On which planet does high expenditure per primary student lead to the highest adult literacy? + sp-10.svg,1.0
65,558a327cfdf99b2d75651681,On which planet does high expenditure per primary student lead to the highest adult literacy? + sp-table-1.png,1.0
66,558a327cfdf99b2d75651681,"Over the course of the second half of 2015, the price of a barrel of oil was ____________. + item4.png",1.0
67,558a327cfdf99b2d75651681,"The residents of town Y are voting on a favorite hiking trail, and half of the votes have been counted. The poll closes on Sep 01, 2022. Which of the following is true? + T48.png",1.0
68,558a327cfdf99b2d75651681,True or False: The number of visitors at airport X is decreasing from 2000 to 2005. + T22.png,1.0
69,558a327cfdf99b2d75651681,"True or False: Within each town, is there a negative relationship between average daily working hours and happiness score? + T38.png",1.0
70,558a327cfdf99b2d75651681,What has the general average unemployment rate been on this group of planets since the beginning of this time period? + lg1-8.svg,1.0
71,558a327cfdf99b2d75651681,What has the general average unemployment rate been on this group of planets since the beginning of this time period? + lg1-table-5.png,1.0
72,558a327cfdf99b2d75651681,What is the approximate average life expectancy on this group of planets? + bg-table-5.png,1.0
73,558a327cfdf99b2d75651681,What is the difference between the percentage of patients who recovered after a surgery and the percentage of patients who recovered after radiation therapy? + ggr_item2.png,1.0
74,558a327cfdf99b2d75651681,What is the height for a person who lies outside the others the most? + item29.png,1.0
75,558a327cfdf99b2d75651681,What is the number of concert tickets sold on Aug 10 as a proportion of that on Aug 11? + T3.png,1.0
76,558a327cfdf99b2d75651681,What is the total length of the metro system in Beijing? + item47.png,1.0
77,558a327cfdf99b2d75651681,What is the trend of sales in gift shop A from Jan to Dec? + T43.png,1.0
78,558a327cfdf99b2d75651681,When did the highest increase in the unemployment trend occur on planet Kallu since the beginning of this time period? + lg1-table-12.png,0.0
79,558a327cfdf99b2d75651681,When was the average price of a pound of coffee beans at minimum? + item36.png,0.0
80,558a327cfdf99b2d75651681,When was unemployment at its highest peak on planet Durla? + lg1-table-7.png,1.0
81,558a327cfdf99b2d75651681,Where is life expectancy roughly 61? + bg-9.svg,1.0
82,558a327cfdf99b2d75651681,"Which group of 2 planets (either red, orange, green, purple, brown, or pink) has the biggest difference in life expectancy? + bg-2.svg",1.0
83,558a327cfdf99b2d75651681,Which month has 25 mm of rain? + line.png,1.0
84,558a327cfdf99b2d75651681,Which of the following states has the highest number of Lego owners? + N14.png,1.0
85,558a327cfdf99b2d75651681,Which planet has the lowest life expectancy? + bg-table-2.png,1.0
86,558a327cfdf99b2d75651681,Which planet has the lowest life expectancy? + bg-table-8.png,0.0
87,558a327cfdf99b2d75651681,Which planet spends approximately 6% of its GDP on primary students? + sp-table-10.png,1.0
88,558a327cfdf99b2d75651681,Which planet spends the most on its primary students? + sp-table-7.png,1.0
89,558a327cfdf99b2d75651681,"Which season has more rain, the summer or the spring? + bar.png",1.0
90,558a327cfdf99b2d75651681,Which season has the most rain? + table.png,1.0
91,558a327cfdf99b2d75651681,Which statement about the daily number of traffic accidents from Jan 01 to Jan 15 in state Z is true? + N2.png,1.0
92,5596a991fdf99b2d1e834690,"Approximately, what is brand C’s total sales as a proportion of brand B’s total sales from Jan 01 to Mar 15? + T9.png",0.0
93,5596a991fdf99b2d1e834690,"Approximately, what is store C's total sales as a proportion of store B's total sales in 1995? + N9.png",0.0
94,5596a991fdf99b2d1e834690,"Assuming today is Feb 20, 2022, which of the following is true about the vegetables planted by the three farms? + T35.png",0.0
95,5596a991fdf99b2d1e834690,"Assuming today is May 10 and given the chart below, which statement about rainfall (mm) is true for the past 14 days? + T21.png",0.0
96,5596a991fdf99b2d1e834690,"Company A sells a board game. Assuming today is Jun 01, 2022, which of the following statements is true? + T34.png",0.0
97,5596a991fdf99b2d1e834690,"Compared to the placebo, which treatment leads to a larger decrease in the percentage of patients who die? + ggr_item10.png",1.0
98,5596a991fdf99b2d1e834690,Do all of these planets have the same life expectancy? + bg-5.svg,1.0
99,5596a991fdf99b2d1e834690,Does cell phone brand A have more than half of the total market share? + T28.png,0.0
100,5596a991fdf99b2d1e834690,"Even though there has been some variation, has the unemployment trend generally increased on planet Vincetori since the beginning of this time period? + lg1-table-9.png",0.0
101,5596a991fdf99b2d1e834690,How many months have less than 40mm of rain? + table.png,0.0
102,5596a991fdf99b2d1e834690,How many months have more rain than the average month? + table.png,1.0
103,5596a991fdf99b2d1e834690,How many people have rated the taxi between 4.0 and 4.2? + item22.png,1.0
104,5596a991fdf99b2d1e834690,How much does it rain in March? + bar.png,1.0
105,5596a991fdf99b2d1e834690,"In general, the ridership of the metro system increases as the number of stations increases. + item52.png",1.0
106,5596a991fdf99b2d1e834690,In which company is the global smartphone market share the smallest? + item20.png,1.0
107,5596a991fdf99b2d1e834690,In which season does each month have less rain than the month before? + radial.png,1.0
108,5596a991fdf99b2d1e834690,Is the total number of beers consumed by person Z in the first half of 2005 higher than that in the second half? + N8.png,1.0
109,5596a991fdf99b2d1e834690,On how many planets does high expenditure per primary student seem to have a high positive impact on adult literacy? + sp-4.svg,1.0
110,5596a991fdf99b2d1e834690,On how many planets does high expenditure per primary student seem to have a high positive impact on adult literacy? + sp-table-6.png,0.0
111,5596a991fdf99b2d1e834690,"Over the course of 2013, the average price of a pound of coffee beans was ____________. + item38.png",1.0
112,5596a991fdf99b2d1e834690,"Over the course of years between 2009 and 2014, when was the number of girls named 'Amelia' at the maximum? + item42.png",1.0
113,5596a991fdf99b2d1e834690,Samsung is nested in the Financial category. + item61.png,1.0
114,5596a991fdf99b2d1e834690,The approval rating of Republicans for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study. + item18.png,0.0
115,5596a991fdf99b2d1e834690,True or False: Monthly sales for store B is increasing from Jan to Dec. + T52.png,0.0
116,5596a991fdf99b2d1e834690,True or False: The annual number of trees planted in town Z has been increasing from 1960 to 1980. + T12.png,1.0
117,5596a991fdf99b2d1e834690,What is the cost of peanuts in Las Vegas? + item10.png,0.0
118,5596a991fdf99b2d1e834690,What is the number of visitors at theater A as a proportion of that at theater B in 2001? + N1.png,1.0
119,5596a991fdf99b2d1e834690,What is the range of the total length of the metro systems? + item49.png,0.0
120,5596a991fdf99b2d1e834690,What is the weight for the person who is 165.1 cm tall? + item26.png,0.0
121,5596a991fdf99b2d1e834690,What was the price of a barrel of oil in February 2015? + item1.png,1.0
122,5596a991fdf99b2d1e834690,When did unemployment first go above 9.9 on planet Tun? + lg1-table-10.png,1.0
123,5596a991fdf99b2d1e834690,Where did unemployment reach its highest peak since the beginning of this time period? + lg1-1.svg,1.0
124,5596a991fdf99b2d1e834690,Where did unemployment reach its lowest peak since the beginning of this time period? + lg1-4.svg,1.0
125,5596a991fdf99b2d1e834690,Where is life expectancy roughly 61? + bg-9.svg,1.0
126,5596a991fdf99b2d1e834690,"Which group of 2 planets (either red, orange, green, purple, brown, or pink) has the biggest difference in life expectancy? + bg-2.svg",1.0
127,5596a991fdf99b2d1e834690,Which month has 25 mm of rain? + line.png,1.0
128,5596a991fdf99b2d1e834690,Which of the following is true about the prevalence of the plant species Y? + T20.png,1.0
129,5596a991fdf99b2d1e834690,Which of the treatments contributes to a larger decrease in the percentage of sick patients? + ggr_item11.png,0.0
130,5596a991fdf99b2d1e834690,Which planet has the highest life expectancy? + bg-table-7.png,1.0
131,5596a991fdf99b2d1e834690,Which planet has the lowest life expectancy? + bg-table-8.png,0.0
132,5596a991fdf99b2d1e834690,"Which planet spends less than 6.0% of its GDP on primary students, yet has a highly literate adult population? + sp-table-4.png",1.0
133,5596a991fdf99b2d1e834690,"Which planet spends less than 8.0% of its GDP on primary students, yet has a highly literate adult population? + sp-11.svg",0.0
134,5596a991fdf99b2d1e834690,Which planet spends the most on its primary students? + sp-table-7.png,1.0
135,5596a991fdf99b2d1e834690,"Which season has more rain, the summer or the spring? + line.png",1.0
136,5596a991fdf99b2d1e834690,Which season has the most rain? + bar.png,1.0
137,5596a991fdf99b2d1e834690,"Within each city, is there a positive relationship between salary and average daily working hours? + T39.png",0.0
138,55d234b45bc5bc0005d9039d,A group of males are gathered around the height of 176 cm and the weight of 70 kg. + item30.png,1.0
139,55d234b45bc5bc0005d9039d,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in the UK? + item41.png,0.0
140,55d234b45bc5bc0005d9039d,Approximately what percentage of people had Adeolitis in the year 2000? + ggr_item5.png,1.0
141,55d234b45bc5bc0005d9039d,"Approximately, what is the number of votes for candidate A as a proportion of those for candidate B? + T26.png",0.0
142,55d234b45bc5bc0005d9039d,Are there more households with exactly 1 car than households with exactly 2 cars? + T29.png,0.0
143,55d234b45bc5bc0005d9039d,"Assuming today is May 01, 2022, which of the following statements is true? + T37.png",0.0
144,55d234b45bc5bc0005d9039d,Do all of these planets have the same life expectancy? + bg-5.svg,1.0
145,55d234b45bc5bc0005d9039d,Do all of these planets have the same life expectancy? + bg-table-3.png,1.0
146,55d234b45bc5bc0005d9039d,Does expenditure per primary student generally have a positive impact on adult literacy in this group of planets? + sp-3.svg,1.0
147,55d234b45bc5bc0005d9039d,Does expenditure per primary student seem to have a positive impact on adult literacy on planet Kithrup? + sp-table-9.png,1.0
148,55d234b45bc5bc0005d9039d,"Even though there has been some variation, has the unemployment trend generally increased on all of these planets since the beginning of this time period? + lg1-9.svg",1.0
149,55d234b45bc5bc0005d9039d,For which website was the number of unique visitors the largest in 2010? + item59.png,1.0
150,55d234b45bc5bc0005d9039d,How many months have more rain than the average month? + line.png,1.0
151,55d234b45bc5bc0005d9039d,How much does it rain in March? + radial.png,1.0
152,55d234b45bc5bc0005d9039d,"In San Francisco, as the weather gets warmer, there is generally more rain. + table.png",1.0
153,55d234b45bc5bc0005d9039d,"In town X, what is the approximate average number of customers at mall A from Jan to Mar? + T49.png",1.0
154,55d234b45bc5bc0005d9039d,In which city is the cost of soda the highest? + item12.png,0.0
155,55d234b45bc5bc0005d9039d,In which season does each month have less rain than the month before? + line.png,0.0
156,55d234b45bc5bc0005d9039d,"Of 100 patients with disease X, how many are women? + ggr_item8.png",1.0
157,55d234b45bc5bc0005d9039d,On which planet does low expenditure per primary student have the worst impact on adult literacy? + sp-table-2.png,1.0
158,55d234b45bc5bc0005d9039d,The global smartphone market share of Apple is larger than that of Huawei. + item21.png,1.0
159,55d234b45bc5bc0005d9039d,True or False: Predatory species Z is more prevalent in NC than in AZ. + T10.png,1.0
160,55d234b45bc5bc0005d9039d,True or False: WY has a higher risk of bacteria Z infection than ND. + T11.png,1.0
161,55d234b45bc5bc0005d9039d,What is the approximate average life expectancy on this group of planets? + bg-1.svg,0.0
162,55d234b45bc5bc0005d9039d,What is the average internet speed in Japan? + item6.png,1.0
163,55d234b45bc5bc0005d9039d,What is the education level of people in which the Democrats have the lowest approval rating? + item17.png,1.0
164,55d234b45bc5bc0005d9039d,What is the height for the tallest person among the 85 males? + item27.png,1.0
165,55d234b45bc5bc0005d9039d,What is the trend of the growth for plant species P as the number of hours of sunlight exposure per month increases? + T17.png,1.0
166,55d234b45bc5bc0005d9039d,What is the trend of the total sales for item X from Apr to Aug? + T15.png,0.0
167,55d234b45bc5bc0005d9039d,What was the price range of a barrel of oil in 2015? + item3.png,1.0
168,55d234b45bc5bc0005d9039d,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014? + item37.png,1.0
169,55d234b45bc5bc0005d9039d,When did the highest increase in the unemployment trend occur on planet Nurag since the beginning of this time period? + lg1-5.svg,0.0
170,55d234b45bc5bc0005d9039d,When was unemployment at its lowest peak on planet Quake? + lg1-table-8.png,1.0
171,55d234b45bc5bc0005d9039d,Where did unemployment first go above 6.8? + lg1-11.svg,1.0
172,55d234b45bc5bc0005d9039d,Where did unemployment reach its highest peak since the beginning of this time period? + lg1-table-1.png,1.0
173,55d234b45bc5bc0005d9039d,Where did unemployment reach its lowest peak since the beginning of this time period? + lg1-4.svg,1.0
174,55d234b45bc5bc0005d9039d,Which city's metro system does lie outside the relationship between the total system length and the number of stations most? + item50.png,1.0
175,55d234b45bc5bc0005d9039d,"Which group of 2 planets (either red, orange, green, purple, brown, or pink) has the biggest difference in life expectancy? + bg-table-12.png",1.0
176,55d234b45bc5bc0005d9039d,Which month has 25 mm of rain? + bar.png,1.0
177,55d234b45bc5bc0005d9039d,Which of the following about the monthly number of new clients is true? + N6.png,1.0
178,55d234b45bc5bc0005d9039d,Which of the following is true about the education level of residents in city Z? + N13.png,1.0
179,55d234b45bc5bc0005d9039d,Which of the following is true about the three brands of shampoo in city Y from 2001 to 2005? + T25.png,1.0
180,55d234b45bc5bc0005d9039d,Which of the following statements is true about the customers at the three bike shops in city Z? + N3.png,1.0
181,55d234b45bc5bc0005d9039d,Which planet has the highest life expectancy? + bg-7.svg,1.0
182,55d234b45bc5bc0005d9039d,"Which season has more rain, the summer or the spring? + table.png",1.0
183,55d234b45bc5bc0005d9039d,Which season has the most rain? + radial.png,1.0
184,566a19b57da035000fb39b89,A group of the metro systems of the world has approximately 300 stations and around a 200km system length. + item51.png,1.0
185,566a19b57da035000fb39b89,Approximately what percentage of people had Adeolitis in the year 2000? + ggr_item5.png,1.0
186,566a19b57da035000fb39b89,"Assuming today is Apr 10, 2022, did the total number of cars parked in the three parking lots fall sharply in 2022? + T36.png",0.0
187,566a19b57da035000fb39b89,Does any members of species C weigh more than 5 lbs? + T40.png,0.0
188,566a19b57da035000fb39b89,Does expenditure per primary student generally have a positive impact on adult literacy in this group of planets? + sp-3.svg,1.0
189,566a19b57da035000fb39b89,Does expenditure per primary student generally have a positive impact on adult literacy in this group of planets? + sp-table-3.png,1.0
190,566a19b57da035000fb39b89,"Even though there has been some variation, has the unemployment trend generally increased on planet Vincetori since the beginning of this time period? + lg1-table-9.png",1.0
191,566a19b57da035000fb39b89,"Even though there has been some variation, where has the unemployment trend generally increased the most since the beginning of this time period? + lg1-table-6.png",1.0
192,566a19b57da035000fb39b89,How many months have less than 40mm of rain? + line.png,1.0
193,566a19b57da035000fb39b89,How many more men than women are there among 100 patients with disease X? + ggr_item9.png,0.0
194,566a19b57da035000fb39b89,How many planets spend approximately the same amount on primary students as planet Wobb but have a higher percentage of literate adults? + sp-1.svg,0.0
195,566a19b57da035000fb39b89,How much does it rain in March? + table.png,1.0
196,566a19b57da035000fb39b89,"In the UK, the number of girls named 'Amelia' in 2014 was more than it was in 2013. + item44.png",1.0
197,566a19b57da035000fb39b89,"In town X, what is the approximate average number of customers at mall A from Jan to Mar? + T49.png",0.0
198,566a19b57da035000fb39b89,In which month was the price of a barrel of oil the lowest in 2015? + item2.png,1.0
199,566a19b57da035000fb39b89,In which season does each month have less rain than the month before? + bar.png,0.0
200,566a19b57da035000fb39b89,Is the total number of beers consumed by person Z in the first half of 2005 higher than that in the second half? + N8.png,1.0
201,566a19b57da035000fb39b89,"Of all the people who die from cancer, approximately what percentage dies from lung cancer? + ggr_item3.png",1.0
202,566a19b57da035000fb39b89,On which planet does high expenditure per primary student lead to the highest adult literacy? + sp-10.svg,1.0
203,566a19b57da035000fb39b89,On which planet does low expenditure per primary student have the worst impact on adult literacy? + sp-2.svg,1.0
204,566a19b57da035000fb39b89,On which planet does low expenditure per primary student have the worst impact on adult literacy? + sp-table-2.png,1.0
205,566a19b57da035000fb39b89,The cost of vodka in Atlanta is higher than that of Honolulu. + item14.png,1.0
206,566a19b57da035000fb39b89,The number of unique visitors for Amazon was more than that of Yahoo in 2010. + item60.png,0.0
207,566a19b57da035000fb39b89,There is a negative linear relationship between the height and the weight of the 85 males. + item31.png,1.0
208,566a19b57da035000fb39b89,True or False: Predatory species Z is more prevalent in NC than in AZ. + T10.png,1.0
209,566a19b57da035000fb39b89,True or False: The number of visitors at airport X is decreasing from 2000 to 2005. + T22.png,1.0
210,566a19b57da035000fb39b89,What is the price of water bottle from store A as a proportion of that from store B? + T4.png,0.0
211,566a19b57da035000fb39b89,What is the rating that the people have rated the taxi the most? + item23.png,1.0
212,566a19b57da035000fb39b89,What is the trend of the growth for plant species P as the number of hours of sunlight exposure per month increases? + T17.png,0.0
213,566a19b57da035000fb39b89,What is the trend of the total number of apples harvested in farm X from Jan 11 to Jan 14? + T16.png,0.0
214,566a19b57da035000fb39b89,What was the unemployment rate for Indiana (IN) in 2015? + item55.png,0.0
215,566a19b57da035000fb39b89,When did the highest increase in the unemployment trend occur on planet Kallu since the beginning of this time period? + lg1-table-12.png,1.0
216,566a19b57da035000fb39b89,When was the average price of a pound of coffee beans at minimum? + item36.png,0.0
217,566a19b57da035000fb39b89,Where did unemployment first go above 10.1? + lg1-table-4.png,0.0
218,566a19b57da035000fb39b89,Where did unemployment reach its lowest peak since the beginning of this time period? + lg1-table-2.png,1.0
219,566a19b57da035000fb39b89,Where is life expectancy roughly 66? + bg-11.svg,1.0
220,566a19b57da035000fb39b89,Which city's metro system does lie outside the relationship between the total system length and the number of stations most? + item50.png,0.0
221,566a19b57da035000fb39b89,"Which group of 2 planets (either red, orange, green, purple, brown, or pink) has the biggest difference in life expectancy? + bg-2.svg",1.0
222,566a19b57da035000fb39b89,Which month has 25 mm of rain? + radial.png,1.0
223,566a19b57da035000fb39b89,Which of the following is true about the education level of residents in city Z? + N13.png,0.0
224,566a19b57da035000fb39b89,Which of the following is true about the residents in towns X and Y? + N11.png,1.0
225,566a19b57da035000fb39b89,Which of the following is true about the three brands of shampoo in city Y from 2001 to 2005? + T25.png,1.0
226,566a19b57da035000fb39b89,Which planet has the highest life expectancy? + bg-7.svg,1.0
227,566a19b57da035000fb39b89,Which planet spends the most on its primary students? + sp-table-7.png,1.0
228,566a19b57da035000fb39b89,"Which season has more rain, the summer or the spring? + bar.png",0.0
229,566a19b57da035000fb39b89,Which season has the most rain? + table.png,1.0
230,56e225c2ec0fdd000641e72d,"Approximately what percentage of people who die from cancer die from colon cancer, breast cancer, and prostate cancer taken together? + ggr_item4.png",1.0
231,56e225c2ec0fdd000641e72d,"Approximately, what is the total number of visitors at amusement park B as a proportion of that at amusement park C from May to December? + T8.png",0.0
232,56e225c2ec0fdd000641e72d,Are there more households with exactly 1 car than households with exactly 2 cars? + T29.png,0.0
233,56e225c2ec0fdd000641e72d,"Between 1980 and 1990, which disease had a higher increase in the percentage of people affected? + ggr_item12.png",0.0
234,56e225c2ec0fdd000641e72d,"Compared to the placebo, which treatment leads to a larger decrease in the percentage of patients who die? + ggr_item10.png",1.0
235,56e225c2ec0fdd000641e72d,For which website was the number of unique visitors the largest in 2010? + item59.png,1.0
236,56e225c2ec0fdd000641e72d,How many months have less than 40mm of rain? + radial.png,1.0
237,56e225c2ec0fdd000641e72d,How many months have more rain than the average month? + table.png,1.0
238,56e225c2ec0fdd000641e72d,How much does it rain in March? + bar.png,1.0
239,56e225c2ec0fdd000641e72d,"In 2015, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI). + item57.png",1.0
240,56e225c2ec0fdd000641e72d,"In San Francisco, as the weather gets warmer, there is generally more rain. + radial.png",1.0
241,56e225c2ec0fdd000641e72d,In which month was the price of a barrel of oil the lowest in 2015? + item2.png,1.0
242,56e225c2ec0fdd000641e72d,In which season does each month have less rain than the month before? + bar.png,1.0
243,56e225c2ec0fdd000641e72d,On how many planets does high expenditure per primary student seem to have a high positive impact on adult literacy? + sp-table-6.png,1.0
244,56e225c2ec0fdd000641e72d,"Over the course of years between 2009 and 2014, the number of girls named 'Isla' was always more than 'Olivia'. + item45.png",1.0
245,56e225c2ec0fdd000641e72d,The metro system in Shanghai has more ridership than the metro system in Beijing. + item53.png,1.0
246,56e225c2ec0fdd000641e72d,The ratio of the cost of Soda to the cost of Water in Orlando is higher than that of Washington D.C. + item15.png,1.0
247,56e225c2ec0fdd000641e72d,"True or False: If the temperature gets higher than 100°F, then the bottles of water sold must be greater than 750. + T46.png",0.0
248,56e225c2ec0fdd000641e72d,True or False: More than half of the people in county Z prefer reading at night. + T47.png,1.0
249,56e225c2ec0fdd000641e72d,Was the average amount of precipitation over 15 years in region D higher than that in region C? + T30.png,0.0
250,56e225c2ec0fdd000641e72d,What is the approval rating of Republicans among the people who have the education level of Postgraduate Study? + item16.png,1.0
251,56e225c2ec0fdd000641e72d,What is the approximate average adult literacy in this group of planets? + sp-table-5.png,0.0
252,56e225c2ec0fdd000641e72d,What is the approximate average life expectancy on this group of planets? + bg-1.svg,1.0
253,56e225c2ec0fdd000641e72d,What is the approximate average life expectancy on this group of planets? + bg-table-5.png,1.0
254,56e225c2ec0fdd000641e72d,What is the height for the tallest person among the 85 males? + item27.png,1.0
255,56e225c2ec0fdd000641e72d,What is the number of visitors at theater A as a proportion of that at theater B in 2001? + N1.png,1.0
256,56e225c2ec0fdd000641e72d,What is the rating that the people have rated the taxi the most? + item23.png,1.0
257,56e225c2ec0fdd000641e72d,What is the trend of the average price of books from 1960 to 2020 in city Z? + T44.png,1.0
258,56e225c2ec0fdd000641e72d,What is the trend of the growth for plant species P as the number of hours of sunlight exposure per month increases? + T17.png,0.0
259,56e225c2ec0fdd000641e72d,What is the trend of the number of bookstores in city Z from 2000 to 2020? + T13.png,1.0
