index,question_image,category,is_correct,test_type
44,How many months have less than 40mm of rain? + radial.png,arithmetic computation,0.7738095238095238,wainer
45,How many months have less than 40mm of rain? + table.png,arithmetic computation,0.7529411764705882,wainer
46,How many months have more rain than the average month? + bar.png,statistical inference,0.8588235294117647,wainer
47,How many months have more rain than the average month? + line.png,statistical inference,0.7391304347826086,wainer
48,How many months have more rain than the average month? + radial.png,statistical inference,0.7294117647058823,wainer
49,How many months have more rain than the average month? + table.png,statistical inference,0.7058823529411765,wainer
50,How many more men than women are there among 100 patients with disease X? + ggr_item9.png,arithmetic computation,0.5977011494252874,ggr-mc
51,How many people have rated the taxi between 4.0 and 4.2? + item22.png,value identification,0.7906976744186046,vlat
52,How many planets spend approximately the same amount on primary students as planet Trigus but have a higher percentage of literate adults? + sp-table-12.png,arithmetic computation,0.47560975609756095,brbf
53,How many planets spend approximately the same amount on primary students as planet Wobb but have a higher percentage of literate adults? + sp-1.svg,arithmetic computation,0.47560975609756095,brbf
54,How much does it rain in March? + bar.png,value identification,0.9294117647058824,wainer
55,How much does it rain in March? + line.png,value identification,0.7976190476190477,wainer
56,How much does it rain in March? + radial.png,value identification,0.9294117647058824,wainer
57,How much does it rain in March? + table.png,value identification,0.9294117647058824,wainer
58,"In 2015, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI). + item57.png",arithmetic computation,0.9090909090909091,vlat
59,"In San Francisco, as the weather gets warmer, there is generally more rain. + bar.png",statistical inference,0.8160919540229885,wainer
60,"In San Francisco, as the weather gets warmer, there is generally more rain. + line.png",statistical inference,0.7831325301204819,wainer
61,"In San Francisco, as the weather gets warmer, there is generally more rain. + radial.png",statistical inference,0.8072289156626506,wainer
62,"In San Francisco, as the weather gets warmer, there is generally more rain. + table.png",statistical inference,0.9047619047619048,wainer
63,"In city Z, what is the approximate average number of new buildings built from 1950 to 1952? + T50.png",statistical inference,0.25882352941176473,calvi
64,"In general, the ridership of the metro system increases as the number of stations increases. + item52.png",statistical inference,0.32941176470588235,vlat
65,"In the UK, the number of girls named 'Amelia' in 2014 was more than it was in 2013. + item44.png",arithmetic computation,0.25,vlat
66,"In town X, what is the approximate average number of customers at mall A from Jan to Mar? + T49.png",statistical inference,0.20481927710843373,calvi
67,In which city is the cost of soda the highest? + item12.png,value identification,0.5348837209302325,vlat
68,In which company is the global smartphone market share the smallest? + item20.png,value identification,0.9882352941176471,vlat
69,In which country is the average internet speed the fastest in Asia? + item7.png,value identification,0.9761904761904762,vlat
70,In which month was the price of a barrel of oil the lowest in 2015? + item2.png,value identification,0.9634146341463414,vlat
71,In which season does each month have less rain than the month before? + bar.png,arithmetic computation,0.5813953488372093,wainer
72,In which season does each month have less rain than the month before? + line.png,arithmetic computation,0.34523809523809523,wainer
73,In which season does each month have less rain than the month before? + radial.png,arithmetic computation,0.38372093023255816,wainer
74,In which season does each month have less rain than the month before? + table.png,arithmetic computation,0.573170731707317,wainer
75,In which state was the unemployment rate the highest in 2015? + item56.png,value identification,0.9058823529411765,vlat
76,Is the total number of beers consumed by person Z in the first half of 2005 higher than that in the second half? + N8.png,arithmetic computation,0.8488372093023255,calvi
77,Is the total number of shirts sold by company Z in the first half of 2021 higher than that in the second half? + T23.png,statistical inference,0.40229885057471265,calvi
78,Is there a positive relationship between SAT score and annual family income for students in city Z? + N10.png,statistical inference,0.8850574712643678,calvi
79,More people have rated the taxi between 4.6 and 4.8 than between 4.2 and 4.4. + item25.png,statistical inference,0.8023255813953488,vlat
80,"Of 100 patients with disease X, how many are women? + ggr_item8.png",value identification,0.896551724137931,ggr-mc
81,"Of all the people who die from cancer, approximately what percentage dies from lung cancer? + ggr_item3.png",value identification,0.8255813953488372,ggr-mc
82,"On May 06 in city Z, what is the number of visitors at train station B as a proportion of that at train station C? + T5.png",arithmetic computation,0.1590909090909091,calvi
83,On how many planets does high expenditure per primary student seem to have a high positive impact on adult literacy? + sp-4.svg,arithmetic computation,0.6190476190476191,brbf
84,On how many planets does high expenditure per primary student seem to have a high positive impact on adult literacy? + sp-table-6.png,arithmetic computation,0.3068181818181818,brbf
85,On which planet does high expenditure per primary student lead to the highest adult literacy? + sp-10.svg,value identification,0.8690476190476191,brbf
86,On which planet does high expenditure per primary student lead to the highest adult literacy? + sp-table-1.png,value identification,0.8571428571428571,brbf
87,On which planet does low expenditure per primary student have the worst impact on adult literacy? + sp-2.svg,value identification,0.7325581395348837,brbf
88,On which planet does low expenditure per primary student have the worst impact on adult literacy? + sp-table-2.png,value identification,0.7865168539325843,brbf
89,"Over the course of 2013, the average price of a pound of coffee beans was ____________. + item38.png",statistical inference,0.9186046511627907,vlat
90,"Over the course of the second half of 2015, the price of a barrel of oil was ____________. + item4.png",statistical inference,0.9418604651162791,vlat
91,"Over the course of years between 2009 and 2014, the number of girls named 'Isla' was always more than 'Olivia'. + item45.png",arithmetic computation,0.2,vlat
92,"Over the course of years between 2009 and 2014, when was the number of girls named 'Amelia' at the maximum? + item42.png",value identification,0.9759036144578314,vlat
93,Samsung is nested in the Financial category. + item61.png,statistical inference,0.8795180722891566,vlat
94,The approval rating of Republicans for the people who have the education level of Some College Degree is lower than that for the people who have the education level of Postgraduate Study. + item18.png,arithmetic computation,0.49411764705882355,vlat
95,The cost of vodka in Atlanta is higher than that of Honolulu. + item14.png,arithmetic computation,0.6705882352941176,vlat
96,The global smartphone market share of Apple is larger than that of Huawei. + item21.png,arithmetic computation,0.9411764705882353,vlat
97,The metro system in Shanghai has more ridership than the metro system in Beijing. + item53.png,arithmetic computation,0.7023809523809523,vlat
98,The number of girls named 'Isla' was __________ from 2009 to 2012. + item43.png,statistical inference,0.9634146341463414,vlat
99,The number of unique visitors for Amazon was more than that of Yahoo in 2010. + item60.png,arithmetic computation,0.6024096385542169,vlat
100,The ratio of the cost of Soda to the cost of Water in Orlando is higher than that of Washington D.C. + item15.png,arithmetic computation,0.7674418604651163,vlat
101,"The residents of town Y are voting on a favorite hiking trail, and half of the votes have been counted. The poll closes on Sep 01, 2022. Which of the following is true? + T48.png",statistical inference,0.5119047619047619,calvi
102,The weights for males with the height of 188 cm are all the same. + item32.png,arithmetic computation,0.7931034482758621,vlat
103,There is a negative linear relationship between the height and the weight of the 85 males. + item31.png,statistical inference,0.7011494252873564,vlat
104,True or False: GDP per capita for country Z grew faster from 2000 to 2003 than from 2005 to 2008. + T27.png,statistical inference,0.21839080459770116,calvi
105,"True or False: If the temperature gets higher than 100°F, then the bottles of water sold must be greater than 750. + T46.png",statistical inference,0.2261904761904762,calvi
106,True or False: Monthly sales for store B is increasing from Jan to Dec. + T52.png,statistical inference,0.7407407407407407,calvi
107,True or False: More than half of the people in county Z prefer reading at night. + T47.png,arithmetic computation,0.926829268292683,calvi
108,True or False: Predatory species Z is more prevalent in NC than in AZ. + T10.png,arithmetic computation,0.7764705882352941,calvi
109,True or False: The annual number of trees planted in town Z has been increasing from 1960 to 1980. + T12.png,statistical inference,0.7272727272727273,calvi
110,True or False: The number of visitors at airport X is decreasing from 2000 to 2005. + T22.png,statistical inference,0.7752808988764045,calvi
111,True or False: WY has a higher risk of bacteria Z infection than ND. + T11.png,arithmetic computation,0.8674698795180723,calvi
112,"True or False: Within each town, is there a negative relationship between average daily working hours and happiness score? + T38.png",statistical inference,0.3333333333333333,calvi
113,Was the average amount of precipitation over 15 years in region D higher than that in region C? + T30.png,arithmetic computation,0.03409090909090909,calvi
114,What has the average unemployment rate been on planet Konom since the beginning of this time period? + lg1-table-11.png,statistical inference,0.3132530120481928,brbf
115,What has the average unemployment rate been on planet Voreg since the beginning of this time period? + lg1-2.svg,statistical inference,0.5925925925925926,brbf
116,What has the general average unemployment rate been on this group of planets since the beginning of this time period? + lg1-8.svg,statistical inference,0.5340909090909091,brbf
117,What has the general average unemployment rate been on this group of planets since the beginning of this time period? + lg1-table-5.png,statistical inference,0.36046511627906974,brbf
118,What is the approval rating of Republicans among the people who have the education level of Postgraduate Study? + item16.png,value identification,0.5393258426966292,vlat
119,What is the approximate average adult literacy in this group of planets? + sp-12.svg,statistical inference,0.5238095238095238,brbf
120,What is the approximate average adult literacy in this group of planets? + sp-table-5.png,statistical inference,0.6896551724137931,brbf
121,What is the approximate average life expectancy on this group of planets? + bg-1.svg,statistical inference,0.4222222222222222,brbf
122,What is the approximate average life expectancy on this group of planets? + bg-4.svg,statistical inference,0.40963855421686746,brbf
123,What is the approximate average life expectancy on this group of planets? + bg-table-11.png,statistical inference,0.5542168674698795,brbf
124,What is the approximate average life expectancy on this group of planets? + bg-table-5.png,statistical inference,0.4823529411764706,brbf
125,What is the average adult literacy on the 5 planets that spend the most on primary students? + sp-7.svg,statistical inference,0.4024390243902439,brbf
126,What is the average adult literacy on the 5 planets that spend the most on primary students? + sp-table-11.png,statistical inference,0.23809523809523808,brbf
127,What is the average internet speed in Japan? + item6.png,value identification,0.8313253012048193,vlat
128,What is the cost of peanuts in Las Vegas? + item10.png,value identification,0.27710843373493976,vlat
129,What is the difference between the percentage of patients who recovered after a surgery and the percentage of patients who recovered after radiation therapy? + ggr_item2.png,arithmetic computation,0.8433734939759037,ggr-mc
130,What is the education level of people in which the Democrats have the lowest approval rating? + item17.png,value identification,0.8333333333333334,vlat
131,What is the height for a person who lies outside the others the most? + item29.png,statistical inference,0.5119047619047619,vlat
132,What is the height for the tallest person among the 85 males? + item27.png,value identification,0.65,vlat
133,What is the number of concert tickets sold on Aug 10 as a proportion of that on Aug 11? + T3.png,arithmetic computation,0.23170731707317074,calvi
134,What is the number of visitors at theater A as a proportion of that at theater B in 2001? + N1.png,arithmetic computation,0.9176470588235294,calvi
135,What is the percentage of cancer patients who die after chemotherapy? + ggr_item13.png,value identification,0.18604651162790697,ggr-mc
136,What is the price of water bottle from store A as a proportion of that from store B? + T4.png,arithmetic computation,0.37209302325581395,calvi
137,What is the range in weight for the 85 males? + item28.png,value identification,0.08333333333333333,vlat
138,What is the range of the average internet speed in Asia? + item8.png,value identification,0.575,vlat
139,What is the range of the total length of the metro systems? + item49.png,value identification,0.25,vlat
140,What is the rating that the people have rated the taxi the most? + item23.png,value identification,0.9080459770114943,vlat
141,What is the total length of the metro system in Beijing? + item47.png,value identification,0.35294117647058826,vlat
142,What is the trend for the percentage of bacteria Z from 1970 to 2020? + T6.png,statistical inference,0.21176470588235294,calvi
143,What is the trend of sales in gift shop A from Jan to Dec? + T43.png,statistical inference,0.6463414634146342,calvi
144,What is the trend of the average price of books from 1960 to 2020 in city Z? + T44.png,statistical inference,0.5172413793103449,calvi
145,What is the trend of the growth for plant species P as the number of hours of sunlight exposure per month increases? + T17.png,statistical inference,0.19767441860465115,calvi
146,What is the trend of the monthly number of new restaurant openings in county Y in 2000? + N7.png,statistical inference,0.9642857142857143,calvi
147,What is the trend of the number of bookstores in city Z from 2000 to 2020? + T13.png,statistical inference,0.7804878048780488,calvi
148,What is the trend of the survival rate as weight increases for species Z? + T19.png,statistical inference,0.2441860465116279,calvi
149,What is the trend of the total number of apples harvested in farm X from Jan 11 to Jan 14? + T16.png,statistical inference,0.23809523809523808,calvi
150,What is the trend of the total sales for item X from Apr to Aug? + T15.png,statistical inference,0.12195121951219512,calvi
151,What is the weight for the person who is 165.1 cm tall? + item26.png,value identification,0.8705882352941177,vlat
152,What percentage of patients recovered after chemotherapy? + ggr_item1.png,value identification,0.9431818181818182,ggr-mc
153,What was the average price of a pound of coffee beans in September 2013? + item35.png,value identification,0.6785714285714286,vlat
154,What was the number of girls named 'Amelia' in 2010 in the UK? + item40.png,value identification,0.14457831325301204,vlat
155,What was the price of a barrel of oil in February 2015? + item1.png,value identification,0.9069767441860465,vlat
156,What was the price range of a barrel of oil in 2015? + item3.png,value identification,0.5421686746987951,vlat
157,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014? + item37.png,value identification,0.36904761904761907,vlat
158,What was the unemployment rate for Indiana (IN) in 2015? + item55.png,value identification,0.07228915662650602,vlat
159,When did the highest increase in the unemployment trend occur on planet Kallu since the beginning of this time period? + lg1-table-12.png,arithmetic computation,0.4659090909090909,brbf
160,When did the highest increase in the unemployment trend occur on planet Nurag since the beginning of this time period? + lg1-5.svg,arithmetic computation,0.25882352941176473,brbf
161,When did unemployment first go above 6.9 on planet Mandel? + lg1-6.svg,value identification,0.2,brbf
162,When did unemployment first go above 9.9 on planet Tun? + lg1-table-10.png,value identification,0.7816091954022989,brbf
163,When was the average price of a pound of coffee beans at minimum? + item36.png,value identification,0.5542168674698795,vlat
164,When was the increase in the percentage of people with Adeolitis higher? + ggr_item6.png,arithmetic computation,0.5813953488372093,ggr-mc
165,When was unemployment at its highest peak on planet Durla? + lg1-table-7.png,value identification,0.7901234567901234,brbf
166,When was unemployment at its highest peak on planet Karna? + lg1-10.svg,value identification,0.38095238095238093,brbf
167,When was unemployment at its lowest peak on planet Kreno? + lg1-12.svg,value identification,0.4146341463414634,brbf
168,When was unemployment at its lowest peak on planet Quake? + lg1-table-8.png,value identification,0.75,brbf
169,Where did unemployment first go above 10.1? + lg1-table-4.png,value identification,0.5955056179775281,brbf
170,Where did unemployment first go above 6.8? + lg1-11.svg,value identification,0.8705882352941177,brbf
171,Where did unemployment reach its highest peak since the beginning of this time period? + lg1-1.svg,value identification,0.8588235294117647,brbf
172,Where did unemployment reach its highest peak since the beginning of this time period? + lg1-table-1.png,value identification,0.8352941176470589,brbf
173,Where did unemployment reach its lowest peak since the beginning of this time period? + lg1-4.svg,value identification,0.735632183908046,brbf
174,Where did unemployment reach its lowest peak since the beginning of this time period? + lg1-table-2.png,value identification,0.7931034482758621,brbf
175,Where is life expectancy roughly 61? + bg-9.svg,value identification,0.898876404494382,brbf
176,Where is life expectancy roughly 66? + bg-11.svg,value identification,0.8170731707317073,brbf
177,Where is life expectancy roughly 66? + bg-table-10.png,value identification,0.9523809523809523,brbf
178,Where is life expectancy roughly 79? + bg-table-4.png,value identification,0.75,brbf
179,Which city's metro system does lie outside the relationship between the total system length and the number of stations most? + item50.png,statistical inference,0.6363636363636364,vlat
180,Which city's metro system has the largest number of stations? + item48.png,value identification,0.5301204819277109,vlat
181,"Which group of 2 planets (either green, red, or orange) has the biggest difference in life expectancy? + bg-10.svg",arithmetic computation,0.7901234567901234,brbf
182,"Which group of 2 planets (either green, red, or orange) has the biggest difference in life expectancy? + bg-table-6.png",arithmetic computation,0.8024691358024691,brbf
183,"Which group of 2 planets (either red, orange, green, purple, brown, or pink) has the biggest difference in life expectancy? + bg-2.svg",arithmetic computation,0.6,brbf
184,"Which group of 2 planets (either red, orange, green, purple, brown, or pink) has the biggest difference in life expectancy? + bg-table-12.png",arithmetic computation,0.627906976744186,brbf
185,Which month has 25 mm of rain? + bar.png,value identification,0.9506172839506173,wainer
186,Which month has 25 mm of rain? + line.png,value identification,0.7108433734939759,wainer
187,Which month has 25 mm of rain? + radial.png,value identification,0.9058823529411765,wainer
188,Which month has 25 mm of rain? + table.png,value identification,0.9886363636363636,wainer
189,Which of the following about the monthly number of new clients is true? + N6.png,statistical inference,0.6436781609195402,calvi
190,Which of the following is true about Restaurant R? + N15.png,arithmetic computation,0.5977011494252874,calvi
191,Which of the following is true about company Z? + T18.png,arithmetic computation,0.36046511627906974,calvi
192,"Which of the following is true about the advertising expense breakdown of company Z in countries A, B, and C? + N4.png",arithmetic computation,0.3176470588235294,calvi
193,Which of the following is true about the annual number of new movies released in city X? + T14.png,arithmetic computation,0.27058823529411763,calvi
194,Which of the following is true about the education level of residents in city Z? + N13.png,arithmetic computation,0.4578313253012048,calvi
195,Which of the following is true about the four brands of perfume in city Z? + N5.png,statistical inference,0.36046511627906974,calvi
196,Which of the following is true about the market share of grocery stores in town Z? + N12.png,arithmetic computation,0.8795180722891566,calvi
197,Which of the following is true about the prevalence of the plant species Y? + T20.png,arithmetic computation,0.45121951219512196,calvi
198,Which of the following is true about the residents in towns X and Y? + N11.png,statistical inference,0.6666666666666666,calvi
199,Which of the following is true about the three brands of shampoo in city Y from 2001 to 2005? + T25.png,statistical inference,0.6511627906976745,calvi
200,Which of the following statements is true about the customers at the three bike shops in city Z? + N3.png,arithmetic computation,0.45348837209302323,calvi
201,Which of the following states has the highest number of Lego owners? + N14.png,arithmetic computation,0.7976190476190477,calvi
202,Which of the treatments contributes to a larger decrease in the percentage of sick patients? + ggr_item11.png,statistical inference,0.12941176470588237,ggr-mc
203,Which planet has the highest life expectancy? + bg-3.svg,value identification,0.9761904761904762,brbf
204,Which planet has the highest life expectancy? + bg-7.svg,value identification,0.8941176470588236,brbf
205,Which planet has the highest life expectancy? + bg-table-1.png,value identification,0.9166666666666666,brbf
206,Which planet has the highest life expectancy? + bg-table-7.png,value identification,0.8795180722891566,brbf
207,Which planet has the lowest adult literacy? + sp-9.svg,value identification,0.9186046511627907,brbf
208,Which planet has the lowest adult literacy? + sp-table-8.png,value identification,0.8488372093023255,brbf
209,Which planet has the lowest life expectancy? + bg-6.svg,value identification,0.9047619047619048,brbf
210,Which planet has the lowest life expectancy? + bg-8.svg,value identification,0.9534883720930233,brbf
211,Which planet has the lowest life expectancy? + bg-table-2.png,value identification,0.8372093023255814,brbf
212,Which planet has the lowest life expectancy? + bg-table-8.png,value identification,0.04819277108433735,brbf
213,Which planet spends approximately 22% of its GDP on primary students? + sp-8.svg,value identification,0.6705882352941176,brbf
214,Which planet spends approximately 6% of its GDP on primary students? + sp-table-10.png,value identification,0.8928571428571429,brbf
215,"Which planet spends less than 6.0% of its GDP on primary students, yet has a highly literate adult population? + sp-table-4.png",value identification,0.813953488372093,brbf
216,"Which planet spends less than 8.0% of its GDP on primary students, yet has a highly literate adult population? + sp-11.svg",value identification,0.7126436781609196,brbf
217,Which planet spends the most on its primary students? + sp-5.svg,value identification,0.5568181818181818,brbf
218,Which planet spends the most on its primary students? + sp-table-7.png,value identification,0.8536585365853658,brbf
219,"Which region had the highest number of confirmed cases per 1,000 people? + T42.png",arithmetic computation,0.17391304347826086,calvi
220,"Which season has more rain, the summer or the spring? + bar.png",arithmetic computation,0.9438202247191011,wainer
221,"Which season has more rain, the summer or the spring? + line.png",arithmetic computation,0.8928571428571429,wainer
222,"Which season has more rain, the summer or the spring? + radial.png",arithmetic computation,0.9418604651162791,wainer
223,"Which season has more rain, the summer or the spring? + table.png",arithmetic computation,0.9294117647058824,wainer
224,Which season has the most rain? + bar.png,value identification,0.9642857142857143,wainer
225,Which season has the most rain? + line.png,value identification,0.8375,wainer
226,Which season has the most rain? + radial.png,value identification,0.8658536585365854,wainer
227,Which season has the most rain? + table.png,value identification,0.9438202247191011,wainer
228,Which statement about the daily number of traffic accidents from Jan 01 to Jan 15 in state Z is true? + N2.png,arithmetic computation,0.8452380952380952,calvi
229,"Within each city, is there a positive relationship between salary and average daily working hours? + T39.png",statistical inference,0.20689655172413793,calvi
